Date	ExchRate	CurrencyFrom	CurrencyTo
2006-12-27	1.0000000001	N/A	N/A
2016-01-29	0.7102	CAD	USD
2016-01-28	0.7106	CAD	USD
2016-01-27	0.7121	CAD	USD
2016-01-26	0.7111	CAD	USD
2016-01-25	0.7017	CAD	USD
2016-01-22	0.7067	CAD	USD
2016-01-21	0.7021	CAD	USD
2016-01-20	0.6854	CAD	USD
2016-01-19	0.6890	CAD	USD
2016-01-18	0.6893	CAD	USD
2016-01-15	0.6883	CAD	USD
2016-01-14	0.6957	CAD	USD
2016-01-13	0.6996	CAD	USD
2016-01-12	0.6997	CAD	USD
2016-01-11	0.7040	CAD	USD
2016-01-08	0.7067	CAD	USD
2016-01-07	0.7112	CAD	USD
2016-01-06	0.7100	CAD	USD
2016-01-05	0.7146	CAD	USD
2016-01-04	0.7159	CAD	USD
2015-12-31	0.7225	CAD	USD
2015-12-30	0.7203	CAD	USD
2015-12-29	0.7220	CAD	USD
2016-02-01	0.7140	CAD	USD
2016-02-02	0.7123	CAD	USD
2016-02-03	0.7222	CAD	USD
2016-02-04	0.7285	CAD	USD
2016-02-05	0.7207	CAD	USD
2016-02-12	0.7228	CAD	USD
2016-02-11	0.7179	CAD	USD
2016-02-10	0.7159	CAD	USD
2016-02-09	0.7236	CAD	USD
2016-02-08	0.7183	CAD	USD
2016-02-16	0.7215	CAD	USD
2016-02-17	0.7308	CAD	USD
2016-02-18	0.7288	CAD	USD
2016-02-19	0.7246	CAD	USD
2016-02-26	0.7382	CAD	USD
2016-02-25	0.7366	CAD	USD
2016-02-24	0.7264	CAD	USD
2016-02-23	0.7251	CAD	USD
2016-02-22	0.7307	CAD	USD
2016-03-01	0.7459	CAD	USD
2016-02-29	0.7395	CAD	USD
2016-03-02	0.7425	CAD	USD
2016-03-03	0.7459	CAD	USD
2016-03-04	0.7498	CAD	USD
2016-03-07	0.7518	CAD	USD
2016-03-16	0.7484	CAD	USD
2016-03-15	0.7486	CAD	USD
2016-03-14	0.7523	CAD	USD
2016-03-11	0.7567	CAD	USD
2016-03-10	0.7478	CAD	USD
2016-03-09	0.7555	CAD	USD
2016-03-08	0.7469	CAD	USD
2016-03-17	0.7702	CAD	USD
2016-03-18	0.7703	CAD	USD
2016-03-21	0.7652	CAD	USD
2016-03-22	0.7662	CAD	USD
2016-03-23	0.7574	CAD	USD
2016-03-24	0.7536	CAD	USD
2016-03-28	0.7585	CAD	USD
2016-03-29	0.7602	CAD	USD
2016-03-30	0.7715	CAD	USD
2016-03-31	0.7710	CAD	USD
2016-04-01	0.7665	CAD	USD
2016-04-04	0.7671	CAD	USD
2016-04-05	0.7593	CAD	USD
2016-04-06	0.7647	CAD	USD
2016-04-07	0.7597	CAD	USD
2016-04-08	0.7695	CAD	USD
2016-04-11	0.7744	CAD	USD
2016-04-12	0.7813	CAD	USD
2016-04-13	0.7817	CAD	USD
2016-04-14	0.7791	CAD	USD
2016-04-15	0.7777	CAD	USD
2016-04-18	0.7803	CAD	USD
2016-04-19	0.7901	CAD	USD
2016-04-20	0.7920	CAD	USD
2016-04-21	0.7868	CAD	USD
2016-04-22	0.7890	CAD	USD
2016-04-25	0.7886	CAD	USD
2016-04-26	0.7928	CAD	USD
2016-04-27	0.7915	CAD	USD
2016-04-28	0.7972	CAD	USD
2016-04-29	0.7969	CAD	USD
2016-05-02	0.7969	CAD	USD
2016-05-03	0.7883	CAD	USD
2016-05-04	0.7762	CAD	USD
2016-05-05	0.7780	CAD	USD
2016-05-06	0.7739	CAD	USD
2016-05-09	0.7696	CAD	USD
2016-05-10	0.7717	CAD	USD
2016-05-11	0.7791	CAD	USD
2016-05-12	0.7777	CAD	USD
2016-05-13	0.7728	CAD	USD
2016-05-16	0.7760	CAD	USD
2016-05-17	0.7761	CAD	USD
2016-05-18	0.7735	CAD	USD
2016-05-19	0.7624	CAD	USD
2016-05-20	0.7613	CAD	USD
2016-05-24	0.7623	CAD	USD
2016-05-25	0.7639	CAD	USD
2016-05-26	0.7704	CAD	USD
2016-05-27	0.7691	CAD	USD
2016-05-30	0.7656	CAD	USD
2016-05-31	0.7634	CAD	USD
2016-06-01	0.7639	CAD	USD
2016-06-02	0.7645	CAD	USD
2016-06-03	0.7723	CAD	USD
2016-06-06	0.7778	CAD	USD
2016-06-07	0.7819	CAD	USD
2016-06-08	0.7877	CAD	USD
2016-06-09	0.7855	CAD	USD
2016-06-10	0.7852	CAD	USD
2016-06-13	0.7817	CAD	USD
2016-06-14	0.7791	CAD	USD
2016-06-15	0.7744	CAD	USD
2016-06-16	0.7668	CAD	USD
2016-06-17	0.7765	CAD	USD
2016-06-20	0.7808	CAD	USD
2016-06-21	0.7802	CAD	USD
2016-06-22	0.7800	CAD	USD
2016-06-23	0.7842	CAD	USD
2016-06-24	0.7721	CAD	USD
2016-06-27	0.7646	CAD	USD
2016-06-28	0.7639	CAD	USD
2016-06-29	0.7698	CAD	USD
2016-06-30	0.7687	CAD	USD
2016-07-04	0.7786	CAD	USD
2016-07-05	0.7723	CAD	USD
2016-07-06	0.7689	CAD	USD
2016-07-07	0.7702	CAD	USD
2016-07-08	0.7649	CAD	USD
2016-07-11	0.7618	CAD	USD
2016-07-12	0.7683	CAD	USD
2016-07-13	0.7713	CAD	USD
2016-07-14	0.7743	CAD	USD
2016-07-15	0.7707	CAD	USD
2016-07-18	0.7702	CAD	USD
2016-07-19	0.7675	CAD	USD
2016-07-20	0.7669	CAD	USD
2016-07-21	0.7659	CAD	USD
2016-07-22	0.7588	CAD	USD
2016-07-25	0.7561	CAD	USD
2016-07-26	0.7571	CAD	USD
2016-07-27	0.7564	CAD	USD
2016-07-28	0.7593	CAD	USD
2016-07-29	0.7668	CAD	USD
2016-08-02	0.7640	CAD	USD
2016-08-03	0.7645	CAD	USD
2016-08-04	0.7678	CAD	USD
2016-08-05	0.7587	CAD	USD
2016-08-08	0.7596	CAD	USD
2016-08-09	0.7624	CAD	USD
2016-08-10	0.7657	CAD	USD
2016-08-11	0.7688	CAD	USD
2016-08-12	0.7725	CAD	USD
2016-08-15	0.7739	CAD	USD
2016-08-16	0.7775	CAD	USD
2016-08-17	0.7761	CAD	USD
2016-08-18	0.7828	CAD	USD
2016-08-19	0.7765	CAD	USD
2016-08-22	0.7727	CAD	USD
2016-08-23	0.7751	CAD	USD
2016-08-24	0.7728	CAD	USD
2016-08-25	0.7730	CAD	USD
2016-08-26	0.7724	CAD	USD
2016-08-29	0.7681	CAD	USD
2016-08-30	0.7648	CAD	USD
2016-08-31	0.7620	CAD	USD
2016-09-01	0.7630	CAD	USD
2016-01-29	1.4080	USD	CAD
